SESSION_START;2532246048494289747;1681851039;
START_LEVEL;2532246048494289747;1681851040;1;
LANDING_EVENT;2532246048494289747;1681851041;0;-5,017658;
ARRIVE_NEW_ZONE;2532246048494289747;1681851041;1;
LANDING_EVENT;2532246048494289747;1681851164;0,1264046;474,9902;
START_LEVEL;2532246048494289747;1681851166;2;
LANDING_EVENT;2532246048494289747;1681851167;0;-5,017658;
ARRIVE_NEW_ZONE;2532246048494289747;1681851167;1;
THROW_HOOK;2532246048494289747;1681851168;4,824793;-4,509665;9,410328;3,375661;2;
HIT_HOOK;2532246048494289747;1681851168;4,824793;-5,009665;2,513528;4,822288;
THROW_HOOK;2532246048494289747;1681851169;7,006434;6,226816;11,90186;15,01552;1;
HIT_HOOK;2532246048494289747;1681851169;7,006434;5,726816;3,406313;6,615313;
RECEIVE_DMG;2532246048494289747;1681851170;ENEMY;0;19,89;
LANDING_EVENT;2532246048494289747;1681851170;2,823935;14,66272;
LANDING_EVENT;2532246048494289747;1681851173;13,33432;2,990191;
THROW_HOOK;2532246048494289747;1681851173;12,42468;3,487245;8,950351;20,81103;2;
HIT_HOOK;2532246048494289747;1681851173;12,42468;2,99016;-1,769734;9,321371;
LANDING_EVENT;2532246048494289747;1681851174;5,785545;22,99167;
LANDING_EVENT;2532246048494289747;1681851176;3,500108;22,99026;
LANDING_EVENT;2532246048494289747;1681851177;-9,062426;31,37144;
LANDING_EVENT;2532246048494289747;1681851177;-11,19563;30,37114;
LANDING_EVENT;2532246048494289747;1681851178;-11,06745;26,83694;
RECEIVE_DMG;2532246048494289747;1681851180;ENEMY;0;34,50001;
LANDING_EVENT;2532246048494289747;1681851182;11,26505;23,94585;
THROW_HOOK;2532246048494289747;1681851185;0,9734167;46,64751;-1,130772;52,18001;2;
HIT_HOOK;2532246048494289747;1681851185;0,9734167;46,14751;-1,066467;3,304043;
LANDING_EVENT;2532246048494289747;1681851186;-0,1139702;55,15513;
LANDING_EVENT;2532246048494289747;1681851186;-5,372603;55,91499;
ARRIVE_NEW_ZONE;2532246048494289747;1681851187;2;
LANDING_EVENT;2532246048494289747;1681851188;-10,53161;56,99029;
LANDING_EVENT;2532246048494289747;1681851190;-8,912135;56,99027;
LANDING_EVENT;2532246048494289747;1681851191;-2,389521;62,53387;
LANDING_EVENT;2532246048494289747;1681851192;-2,180679;55,99025;
LANDING_EVENT;2532246048494289747;1681851193;-4,42627;61,77542;
LANDING_EVENT;2532246048494289747;1681851196;12,92777;68,99023;
LANDING_EVENT;2532246048494289747;1681851197;-4,152208;77,63053;
LANDING_EVENT;2532246048494289747;1681851199;-12,16327;80,99026;
LANDING_EVENT;2532246048494289747;1681851200;-12,44374;80,99029;
LANDING_EVENT;2532246048494289747;1681851201;-10,10984;84,67947;
LANDING_EVENT;2532246048494289747;1681851202;-10,0067;84,22038;
LANDING_EVENT;2532246048494289747;1681851202;-10,35749;83,83875;
THROW_HOOK;2532246048494289747;1681851206;13,05003;95,49247;8,720365;106,3167;2;
HIT_HOOK;2532246048494289747;1681851206;13,05003;94,99247;-2,971107;7,927795;
LANDING_EVENT;2532246048494289747;1681851206;8,875288;104,4692;
LANDING_EVENT;2532246048494289747;1681851207;-0,6608844;105,0689;
LANDING_EVENT;2532246048494289747;1681851208;-10,32828;104,9903;
LEVEL_RESET;2532246048494289747;1681851267;-15,06166;104,9904;2;
LANDING_EVENT;2532246048494289747;1681851268;0;-5,017658;
ARRIVE_NEW_ZONE;2532246048494289747;1681851268;1;
EXIT_LEVEL;2532246048494289747;1681851291;2;
SESSION_END;2532246048494289747;1681851294;
